2.493525	1.963710	1
-2.513661	2.642162	1
1.864375	-3.176309	2
-3.171184	-3.572452	2
2.894220	2.489128	3
-2.562539	2.884438	1
3.491078	-3.947487	2
-2.565729	-2.012114	1
3.332948	3.983102	2
-1.616805	3.573188	3
2.280615	-2.559444	4
-2.651229	-3.103198	3
2.321395	3.154987	4
-1.685703	2.939697	2
3.031012	-3.620252	1
-4.599622	-2.185829	1
4.196223	1.126677	2
-2.133863	3.093686	3
4.668892	-2.562705	3
-2.793241	-2.149706	1
2.884105	3.043438	1
-2.967647	2.848696	5
4.479332	-1.764772	2
-4.905566	-2.911070	1
